OBJECTID *;Shape *;REGN;SOATO;CATEGORY;NAMEOBJECT;NAME;Район;Name_categ;y;x;;
169;Точка;20214;6238557000;121;Радошковичи;Поселок городского типа - городской поселок-АТЕ;Молодечненский;гп Радошковичи;54.158397;27.23563;;Минская
185;Точка;22669;6238501000;213;Молодечно;Город районного подчинения-ТЕ;Молодечненский;г. Молодечно;54.308774;26.858542;;Минская
197;Точка;19825;6236555000;121;Мачулищи;Поселок городского типа - городской поселок-АТЕ;Минский;гп Мачулищи;53.775628;27.590557;;Минская
195;Точка;22668;6236501000;113;Заславль;Город районного подчинения-АТЕ;Минский;г. Заславль;54.00832;27.283089;;Минская
161;Точка;19687;6234557000;121;Уречье;Поселок городского типа - городской поселок-АТЕ;Любанский;гп Уречье;52.946339;27.891812;;Минская
188;Точка;19686;6234501000;113;Любань;Город районного подчинения-АТЕ;Любанский;г. Любань;52.799925;27.996709;;Минская
173;Точка;19346;6232557000;121;Плещеницы;Поселок городского типа - городской поселок-АТЕ;Логойский;гп Плещеницы;54.422277;27.831588;;Минская
189;Точка;19345;6232501000;113;Логойск;Город районного подчинения-АТЕ;Логойский;г. Логойск;54.201909;27.850104;;Минская
177;Точка;19099;6230563000;121;Холопеничи;Поселок городского типа - городской поселок-АТЕ;Крупский;гп Холопеничи;54.51558;28.959039;;Минская
178;Точка;19098;6230557000;121;Бобр;Поселок городского типа - городской поселок-АТЕ;Крупский;гп Бобр;54.34139;29.271984;;Минская
198;Точка;19097;6230501000;113;Крупки;Город районного подчинения-АТЕ;Крупский;г. Крупки;54.319363;29.14688;;Минская
191;Точка;18871;6228501000;113;Копыль;Город районного подчинения-АТЕ;Копыльский;г. Копыль;53.151711;27.09392;;Минская
192;Точка;18762;6225501000;113;Клецк;Город районного подчинения-АТЕ;Клецкий;г. Клецк;53.06648;26.638835;;Минская
176;Точка;18474;6222506000;113;Фаниполь;Город районного подчинения-АТЕ;Дзержинский;г. Фаниполь;53.746673;27.337886;;Минская
180;Точка;18472;6222501000;213;Дзержинск;Город районного подчинения-ТЕ;Дзержинский;г. Дзержинск;53.689116;27.129605;;Минская
172;Точка;18023;6220554000;121;Ивенец;Поселок городского типа - городской поселок-АТЕ;Воложинский;гп Ивенец;53.888889;26.738591;;Минская
179;Точка;18022;6220501000;113;Воложин;Город районного подчинения-АТЕ;Воложинский;г. Воложин;54.087908;26.526198;;Минская
190;Точка;17600;6213501000;213;Вилейка;Город районного подчинения-ТЕ;Вилейский;г. Вилейка;54.497854;26.922524;;Минская
193;Точка;22666;6208501000;213;Борисов;Город районного подчинения-ТЕ;Борисовский;г. Борисов;54.222049;28.507401;;Минская
